id,elevation,capture_time,file_name,Y,X,Z,time
366,869,2019-04-27T01:33:05.000Z,activity_3593740764.gpx,5481492.407,474040.8583,869,1556328785000
367,870,2019-04-27T01:33:10.000Z,activity_3593740764.gpx,5481496.744,474045.76,870,1556328790000
368,870.5999756,2019-04-27T01:33:13.000Z,activity_3593740764.gpx,5481496.913,474047.5761,870.5999756,1556328793000
369,871,2019-04-27T01:33:15.000Z,activity_3593740764.gpx,5481495.126,474049.0975,871,1556328795000
370,871.4000244,2019-04-27T01:33:17.000Z,activity_3593740764.gpx,5481493.386,474048.5792,871.4000244,1556328797000
371,872,2019-04-27T01:33:22.000Z,activity_3593740764.gpx,5481488.071,474047.3216,872,1556328802000
372,872,2019-04-27T01:33:23.000Z,activity_3593740764.gpx,5481486.99,474047.2011,872,1556328803000
373,872.4000244,2019-04-27T01:33:27.000Z,activity_3593740764.gpx,5481482.568,474046.3362,872.4000244,1556328807000
374,872.2000122,2019-04-27T01:33:28.000Z,activity_3593740764.gpx,5481481.267,474045.6015,872.2000122,1556328808000
375,872.2000122,2019-04-27T01:33:30.000Z,activity_3593740764.gpx,5481478.18,474044.0569,872.2000122,1556328810000
376,872,2019-04-27T01:33:31.000Z,activity_3593740764.gpx,5481476.199,474043.2521,872,1556328811000
377,871.7999878,2019-04-27T01:33:32.000Z,activity_3593740764.gpx,5481473.845,474042.4699,871.7999878,1556328812000
378,871.5999756,2019-04-27T01:33:33.000Z,activity_3593740764.gpx,5481471.723,474042.0166,871.5999756,1556328813000
379,871.4000244,2019-04-27T01:33:34.000Z,activity_3593740764.gpx,5481469.888,474041.7044,871.4000244,1556328814000
380,871.4000244,2019-04-27T01:33:40.000Z,activity_3593740764.gpx,5481462.112,474042.6691,871.4000244,1556328820000
381,872.2000122,2019-04-27T01:33:44.000Z,activity_3593740764.gpx,5481455.612,474045.607,872.2000122,1556328824000
382,873,2019-04-27T01:33:49.000Z,activity_3593740764.gpx,5481447.941,474047.9261,873,1556328829000
383,873.2000122,2019-04-27T01:33:50.000Z,activity_3593740764.gpx,5481446.738,474048.1875,873.2000122,1556328830000
384,874,2019-04-27T01:33:55.000Z,activity_3593740764.gpx,5481438.521,474047.7963,874,1556328835000
385,874.4000244,2019-04-27T01:33:56.000Z,activity_3593740764.gpx,5481436.854,474047.3877,874.4000244,1556328836000
386,875,2019-04-27T01:34:03.000Z,activity_3593740764.gpx,5481426.122,474044.9325,875,1556328843000
387,875.4000244,2019-04-27T01:34:09.000Z,activity_3593740764.gpx,5481417.906,474042.2221,875.4000244,1556328849000
388,875.7999878,2019-04-27T01:34:10.000Z,activity_3593740764.gpx,5481416.815,474042.3626,875.7999878,1556328850000
389,876,2019-04-27T01:34:11.000Z,activity_3593740764.gpx,5481415.9,474042.8561,876,1556328851000
390,876.4000244,2019-04-27T01:34:13.000Z,activity_3593740764.gpx,5481413.721,474042.4511,876.4000244,1556328853000
391,876.5999756,2019-04-27T01:34:14.000Z,activity_3593740764.gpx,5481413.368,474042.1763,876.5999756,1556328854000
1240,813.5999756,2019-04-28T18:01:17.000Z,activity_3599697933.gpx,5481673.426,473967.7399,813.5999756,1556474477000
1241,813.5999756,2019-04-28T18:01:20.000Z,activity_3599697933.gpx,5481668.58,473966.0109,813.5999756,1556474480000
1242,813.7999878,2019-04-28T18:01:23.000Z,activity_3599697933.gpx,5481663.681,473963.5106,813.7999878,1556474483000
1243,814.4000244,2019-04-28T18:01:26.000Z,activity_3599697933.gpx,5481659.748,473961.6038,814.4000244,1556474486000
1244,814.4000244,2019-04-28T18:01:27.000Z,activity_3599697933.gpx,5481658.559,473960.7057,814.4000244,1556474487000
1245,815,2019-04-28T18:01:31.000Z,activity_3599697933.gpx,5481653.9,473956.8649,815,1556474491000
1246,815.2000122,2019-04-28T18:01:33.000Z,activity_3599697933.gpx,5481651.978,473955.2652,815.2000122,1556474493000
1247,815.2000122,2019-04-28T18:01:34.000Z,activity_3599697933.gpx,5481651.244,473954.7942,815.2000122,1556474494000
1248,815.4000244,2019-04-28T18:01:37.000Z,activity_3599697933.gpx,5481648.03,473952.7573,815.4000244,1556474497000
1249,815.5999756,2019-04-28T18:01:41.000Z,activity_3599697933.gpx,5481643.279,473950.4216,815.5999756,1556474501000
1250,816,2019-04-28T18:01:43.000Z,activity_3599697933.gpx,5481640.88,473949.3113,816,1556474503000
1251,816.2000122,2019-04-28T18:01:45.000Z,activity_3599697933.gpx,5481638.641,473947.8922,816.2000122,1556474505000
1252,816.4000244,2019-04-28T18:01:47.000Z,activity_3599697933.gpx,5481636.525,473946.1883,816.4000244,1556474507000
1253,817,2019-04-28T18:01:53.000Z,activity_3599697933.gpx,5481628.709,473939.6916,817,1556474513000
1254,817,2019-04-28T18:01:55.000Z,activity_3599697933.gpx,5481626.078,473936.5586,817,1556474515000
1255,816.4000244,2019-04-28T18:01:57.000Z,activity_3599697933.gpx,5481622.422,473933.2021,816.4000244,1556474517000
1256,816.2000122,2019-04-28T18:01:59.000Z,activity_3599697933.gpx,5481617.601,473930.0708,816.2000122,1556474519000
1257,815.4000244,2019-04-28T18:02:03.000Z,activity_3599697933.gpx,5481607.161,473922.7055,815.4000244,1556474523000
1258,815.4000244,2019-04-28T18:02:04.000Z,activity_3599697933.gpx,5481605.185,473920.8748,815.4000244,1556474524000
1259,815,2019-04-28T18:02:07.000Z,activity_3599697933.gpx,5481598.529,473917.4675,815,1556474527000
1260,814.7999878,2019-04-28T18:02:09.000Z,activity_3599697933.gpx,5481594.297,473917.8298,814.7999878,1556474529000
1261,815,2019-04-28T18:02:12.000Z,activity_3599697933.gpx,5481590.948,473920.5032,815,1556474532000
1262,815.2000122,2019-04-28T18:02:14.000Z,activity_3599697933.gpx,5481592.061,473923.5622,815.2000122,1556474534000
